Day of month,Date,Vent Temperature,Ambient Temperature,Difference in Temperature,Vent Open/Closed,Power(W),Energy(kWh),Total Energy(kWh)
27,"Mar 27, 2017 13:01:08",9.062,0.812,8.25,False,0,0,0
27,"Mar 27, 2017 13:02:08",9.0,0.75,8.25,False,0,0,0
27,"Mar 27, 2017 13:03:08",9.0,0.75,8.25,False,0,0,0
27,"Mar 27, 2017 13:04:08",8.937,0.687,8.25,False,0,0,0
27,"Mar 27, 2017 13:05:08",8.812,0.75,8.062,False,0,0,0
27,"Mar 27, 2017 13:06:09",8.75,0.812,7.938,False,0,0,0
27,"Mar 27, 2017 13:07:09",8.687,0.812,7.875,False,0,0,0
27,"Mar 27, 2017 13:08:09",8.562,0.875,7.687,False,0,0,0
27,"Mar 27, 2017 13:09:09",8.437,0.875,7.562,False,0,0,0
27,"Mar 27, 2017 13:10:09",8.312,0.875,7.437,False,0,0,0
27,"Mar 27, 2017 13:11:09",8.25,0.875,7.375,False,0,0,0
27,"Mar 27, 2017 13:12:09",8.125,0.875,7.25,False,0,0,0
27,"Mar 27, 2017 13:13:09",8.062,0.875,7.187,False,0,0,0
27,"Mar 27, 2017 13:14:09",7.937,0.875,7.062,False,0,0,0
27,"Mar 27, 2017 13:15:09",7.875,0.875,7.0,False,0,0,0
27,"Mar 27, 2017 13:16:09",7.75,0.875,6.875,False,0,0,0
27,"Mar 27, 2017 13:17:09",7.625,0.875,6.75,False,0,0,0
27,"Mar 27, 2017 13:18:09",7.625,0.937,6.688,False,0,0,0
27,"Mar 27, 2017 13:19:09",7.562,0.937,6.625,False,0,0,0
27,"Mar 27, 2017 13:20:09",7.5,0.937,6.563,False,0,0,0
27,"Mar 27, 2017 13:21:09",7.437,0.937,6.5,False,0,0,0
27,"Mar 27, 2017 13:22:09",7.375,0.937,6.438,False,0,0,0
27,"Mar 27, 2017 13:23:09",7.375,0.875,6.5,False,0,0,0
27,"Mar 27, 2017 13:24:09",7.312,0.875,6.437,False,0,0,0
27,"Mar 27, 2017 13:25:09",7.312,0.812,6.5,False,0,0,0
27,"Mar 27, 2017 13:26:09",7.312,0.812,6.5,False,0,0,0
27,"Mar 27, 2017 13:27:09",7.375,0.75,6.625,False,0,0,0
27,"Mar 27, 2017 13:28:09",7.437,0.875,6.562,False,0,0,0
27,"Mar 27, 2017 13:29:09",7.437,0.875,6.562,False,0,0,0
27,"Mar 27, 2017 13:30:09",7.5,0.937,6.563,False,0,0,0
27,"Mar 27, 2017 13:31:09",7.625,1.0,6.625,False,0,0,0
27,"Mar 27, 2017 13:32:09",7.687,1.0,6.687,False,0,0,0
27,"Mar 27, 2017 13:33:10",7.75,1.0,6.75,False,0,0,0
27,"Mar 27, 2017 13:34:10",7.812,1.0,6.812,False,0,0,0
27,"Mar 27, 2017 13:35:10",7.937,1.0,6.937,False,0,0,0
27,"Mar 27, 2017 13:36:10",8.0,0.937,7.063,False,0,0,0
27,"Mar 27, 2017 13:37:10",8.062,0.937,7.125,False,0,0,0
27,"Mar 27, 2017 13:38:10",8.125,0.937,7.188,False,0,0,0
27,"Mar 27, 2017 13:39:10",8.187,1.0,7.187,False,0,0,0
27,"Mar 27, 2017 13:40:10",8.187,1.0,7.187,False,0,0,0
27,"Mar 27, 2017 13:41:10",8.187,1.0,7.187,False,0,0,0
27,"Mar 27, 2017 13:42:10",8.25,1.062,7.188,False,0,0,0
27,"Mar 27, 2017 13:43:10",8.25,1.0,7.25,False,0,0,0
